Date,Rating,Title,Content,Pros,Cons
2014-01-22,3,"pool tables and tvPacker Group Leader/Dual Machine Operator (Former Employee) - Elgin, IL - January 22, 2014made sure machines were running production and that there wasn't down time for a long time.",We learned to work together so all work would be done in a timely matter.co-workers helped cover breaks and lunch breaks to get the maxium production.The hardest part of working in Ball was the temperature in the summer time.The most enjoyable part of work was haven great people on the work floor,,
2014-01-17,3,Very good place to work before the buyoutLoader and Bracer (As Raymond J.,"Blackburn) (Former Employee) - Springdale, AR - January 17, 2014For a 21 year old kid working 3rd shift running around on forkliftmaking the money that I did it wasn't bad at all, i.e. I had a lot of freedom",3rd shift was a breeze,very cold in the winter
2014-01-09,5,Excellent place for growth and development.,"Lithograph and Coating Department Supervisor (Former Employee) - Elgin, IL - January 9, 2014Excellent place for growth and development. Encouraging team environment with additional training in all aspects.",,
2014-01-06,4,"Excellent OrganizationPlanning & Control Specialist (Former Employee) - De Forest, WI - January 6, 2014Strong company with strong values.",Family feel despite being such a large organization. Open the door for advancement and amazing compensation. One of the best organizations I could work for.,,
2013-12-31,4,"Good companyQA/Food Safety Manager (Former Employee) - Columbus, Ohio - December 31, 2013A home and work life that is challenging, enjoyable and successful.","Supporting my family and work associates in finding ways to make life and work a better more valuable experience where we succeed together at reaching goals, higher levels of success and enjoying the journey together.",,
2013-12-12,5,It was a great place to work.,"Mantenimiento y Producción (Former Employee) - Guayama P.R - December 12, 2013It was a company that made cans of different products.In this company I  hired through an employment agency. My work began on building maintenance and then my good performance I stay working as palletising products that the company was producing.ConsShort breaks",,
2013-11-29,5,Ball Corp.,"is an outstanding company to work.Electrical Project Engineer (Former Employee) - Broomfield, CO - November 29, 2013My role at Ball was to design, review and install electrical projects for the aerosols can production I had a lot of travel invalid to the individual plants.",,
2013-11-18,1,Run high speed manufactoring equipment.,"Drove forktrucks, Did QA workProduction Technician II / Adjuster (Former Employee) - Gainesville Fl - November 18, 2013You would start your shift with a handoff from previous shift. Items that would be discussed were issues that occurred during their shift. You would monitor quality running on your presses. In addition perform quality checks. Take reading on your equipment, pressures and the like, check oil levels etc. If equipment jammed up then you would have to  clear or fix issue causing problem. Sometimes you would have to  work on press to fix spec. issues.The hardest part  of your job would depend on how equipment ran. if you were having multiple issues it would be a challenge. If your equipment ran good then you could call it a good day.","Wages, Benefits",Shift work
2013-10-25,4,Very fast paced environment everyday.,"EH&S Manager (Former Employee) - Conroe, TX - October 25, 2013Good place to work, something different everyday. Good group of people that care about each other.",,
2013-09-20,5,"Good Company to work for with Good BenefitsMainteance Technician (Former Employee) - Columbus, Ohio - September 20, 2013Solid Company to work for.",Good Benefits.Work environment was excellent.Management was fair and good to work for.,Good work environment.,none.
2013-08-31,5,"Same facility, Ball was new owners.","Chief Material Handler (Former Employee) - Columbus, Ohio - August 31, 2013Exact same review as with Metal Container Corporation.  As a result of the declining aluminum can market share, the Columbus, Ohio facility was closed down.","Great company, great benefits and compensation.",Plant shut down due to declining aluminum can business
2013-08-31,5,"Fun place to workCoordinator, Compensation and Benefits (Former Employee) - Broomfield, CO - August 31, 2013Work was fun and educational  Contributions made by employees acknowledged.",Management listened and allowed you to have imput in your work assignments.,"Free health benefits, profit sharing, bonuses.",Not enough paid time off
2013-08-24,1,"work as a maintainerMaintainer (Former Employee) - Milwaukee, WI - August 24, 2013Using an internal coating machine, I was responsible for the quality, quantity and safety of steel food cansproduced on my line.","Additionally, I maintained my equipment to keep in step with daily production goals.",,
